time,open,high,low,close
1628946360,3223.81,3223.81,3223.81,3223.81
1628946420,3223.81,3223.81,3223.81,3223.81
1628946480,3215.00,3215.80,3210.83,3212.10
1628946540,3214.21,3214.21,3214.21,3214.21
1628946600,3216.14,3218.96,3216.14,3218.96
1628946660,3220.01,3220.01,3220.01,3220.01
1628946720,3222.17,3222.17,3222.17,3222.17
1628946780,3228.44,3228.44,3228.44,3228.44
1628946840,3228.44,3228.44,3228.44,3228.44
1628946900,3231.13,3231.71,3231.13,3231.71
1628946960,3231.71,3231.71,3231.71,3231.71
1628947020,3231.71,3231.71,3231.71,3231.71
1628947080,3233.44,3234.11,3233.44,3234.11
1628947140,3234.11,3234.11,3234.11,3234.11
1628947200,3234.83,3234.83,3234.83,3234.83
1628947260,3234.83,3234.83,3234.83,3234.83
1628947320,3234.83,3234.83,3234.83,3234.83
1628947380,3237.30,3237.30,3237.12,3237.12
1628947440,3237.12,3237.12,3237.12,3237.12
1628947500,3238.37,3238.67,3238.37,3238.67
1628947560,3238.67,3238.67,3238.67,3238.67
1628947620,3238.67,3238.67,3238.67,3238.67
1628947680,3238.67,3238.67,3238.67,3238.67
1628947740,3238.67,3238.67,3238.67,3238.67
1628947800,3235.68,3235.68,3234.07,3234.07
1628947860,3234.07,3234.07,3234.07,3234.07
1628947920,3234.07,3234.07,3234.07,3234.07
1628947980,3234.07,3234.07,3234.07,3234.07
1628948040,3234.07,3234.07,3234.07,3234.07
1628948100,3234.07,3234.07,3234.07,3234.07
1628948160,3231.87,3231.87,3231.87,3231.87
1628948220,3231.87,3231.87,3231.87,3231.87
1628948280,3231.87,3231.87,3231.87,3231.87
1628948340,3229.29,3229.29,3228.87,3228.87
1628948400,3228.87,3228.87,3228.87,3228.87
1628948460,3226.93,3226.93,3226.93,3226.93
1628948520,3228.83,3228.83,3228.83,3228.83
1628948580,3229.21,3230.28,3229.21,3230.28
1628948640,3229.24,3229.24,3229.24,3229.24
1628948700,3229.24,3229.24,3229.24,3229.24
1628948760,3229.24,3229.24,3229.24,3229.24
1628948820,3226.45,3226.97,3226.35,3226.97
1628948880,3227.66,3227.66,3227.66,3227.66
1628948940,3226.81,3226.82,3226.81,3226.82
1628949000,3226.82,3226.82,3226.82,3226.82
1628949060,3226.82,3226.82,3226.82,3226.82
1628949120,3227.30,3227.30,3227.30,3227.30
1628949180,3229.94,3231.66,3229.94,3231.66
1628949240,3229.78,3229.78,3229.78,3229.78
1628949300,3227.26,3227.26,3227.26,3227.26
1628949360,3227.26,3227.26,3227.26,3227.26
1628949420,3227.26,3227.26,3227.26,3227.26
1628949480,3232.37,3232.37,3232.37,3232.37
1628949540,3232.71,3233.92,3232.71,3233.54
1628949600,3232.28,3232.28,3232.28,3232.28
1628949660,3232.28,3232.28,3232.28,3232.28
1628949720,3230.53,3230.53,3230.53,3230.53
1628949780,3228.94,3228.94,3228.94,3228.94
1628949840,3228.94,3228.94,3228.94,3228.94
1628949900,3228.94,3228.94,3228.94,3228.94
1628949960,3228.94,3228.94,3228.94,3228.94
1628950020,3228.94,3228.94,3228.94,3228.94
1628950080,3228.94,3228.94,3228.94,3228.94
1628950140,3233.78,3233.78,3233.78,3233.78
1628950200,3233.78,3233.78,3233.78,3233.78
1628950260,3241.25,3241.71,3241.25,3241.71
1628950320,3245.96,3247.92,3245.96,3247.92
1628950380,3247.92,3247.92,3247.92,3247.92
1628950440,3245.51,3245.51,3245.51,3245.51
1628950500,3243.97,3244.18,3243.97,3244.18
1628950560,3246.95,3246.95,3246.95,3246.95
1628950620,3246.95,3246.95,3246.95,3246.95
1628950680,3246.95,3246.95,3246.95,3246.95
1628950740,3246.95,3246.95,3246.95,3246.95
1628950800,3251.81,3251.81,3251.81,3251.81
1628950860,3251.82,3251.82,3251.82,3251.82
1628950920,3254.68,3255.13,3254.68,3255.13
1628950980,3257.42,3258.96,3257.42,3258.96
1628951040,3258.96,3258.96,3258.96,3258.96
1628951100,3260.10,3260.11,3257.00,3257.00
1628951160,3257.00,3257.00,3257.00,3257.00
1628951220,3257.01,3257.01,3257.01,3257.01
1628951280,3257.01,3257.01,3257.01,3257.01
1628951340,3257.00,3257.00,3257.00,3257.00
1628951400,3257.41,3257.41,3257.41,3257.41
1628951460,3257.00,3257.00,3257.00,3257.00
1628951520,3255.36,3255.64,3255.36,3255.64
1628951580,3255.64,3255.64,3255.64,3255.64
1628951640,3256.03,3256.03,3256.03,3256.03
1628951700,3256.03,3256.03,3256.03,3256.03
1628951760,3256.03,3256.03,3256.03,3256.03
1628951820,3256.03,3256.03,3256.03,3256.03
1628951880,3256.03,3256.03,3256.03,3256.03
1628951940,3256.03,3256.03,3256.03,3256.03
1628952000,3256.03,3256.03,3256.03,3256.03
1628952060,3256.03,3256.03,3256.03,3256.03
1628952120,3256.03,3256.03,3256.03,3256.03
1628952180,3256.03,3256.03,3256.03,3256.03
1628952240,3253.87,3256.12,3253.87,3256.12
1628952300,3256.12,3256.12,3256.12,3256.12
1628952360,3256.12,3256.12,3256.12,3256.12
1628952420,3256.12,3256.12,3256.12,3256.12
